,Acres,FieldCropP,SavedWat_2,TNC_Total,Krat_Total,Kitfox_Tot,Corridor_1,CPAD_Total,alfalfa-pasture,corn,field-crops-grains,trees-vines,veg-fruits,PPIC_Regio
0,129463.9396817999,215697412.96000022,69573.53394098616,5459.369146033381,1212.710381976433,12515.987994225958,16907.424398454867,21365.844511754898,36950.729030260016,3932.9444220199994,72360.26436581997,7755.675704039997,8464.326159659999,SW
1,129372.27989234996,215371785.07000017,69538.14881381611,5343.211461748026,1265.6694354699582,12388.842388453046,17225.600687996513,20572.51968862775,36841.09005689998,3961.8404218800015,72386.00160606996,7759.857236660003,8423.490570840002,SW
2,129434.67437372994,215360306.57999998,69581.84792502053,5130.3108575476135,1212.6517685477706,11806.384079042988,17691.996598349946,20542.35941010772,36877.03444082997,3892.6052383099995,72483.55864528997,7770.213868940001,8411.26218036,SW
3,129362.75182907979,215394268.5800003,69666.08160800934,5409.663547574113,1186.004592742468,12323.135278416079,16558.693553994068,20158.020588121937,36833.88848806999,3944.3942456300006,72370.71643874998,7789.155740169993,8424.59691646,SW
4,129466.86208778988,216164013.06000024,69555.91936974676,5503.9088445102625,1178.516473312431,12159.946340755492,16750.580372267672,20705.12669241196,36880.519366890025,3909.2766883500008,72375.74266013993,7773.324638410006,8527.998733999997,SW
5,129425.89898281993,215404246.2600002,69461.05143044409,5428.883516307729,1236.4818844573072,12094.455937560568,17899.589653457795,21920.35152759918,36830.996687750034,3946.69145168,72467.46396941999,7769.600350090002,8411.146523880001,SW
6,129408.84911066995,215373524.55000007,69520.28661687954,5390.40666306202,1249.909369407092,11835.277296435786,17193.73503810275,20891.63315874561,36851.63012460006,3939.1411346699992,72443.32732289004,7758.235100489998,8416.515428019999,SW
7,129571.72192643986,216165061.84000006,69562.37908576589,5250.083307216076,1260.0253223265447,12062.27810748066,16378.447440239257,21183.83372599218,36907.285347599995,3935.9957503600003,72468.20603585987,7758.939318340001,8501.295474279994,SW
8,129531.08675793986,216115373.47000018,69451.88343022633,5332.745890848894,1208.3871491131063,12098.200860587744,16330.478509539977,20548.239992745042,36838.26347018001,3890.0279019700006,72528.77716779997,7776.359046789999,8497.6591712,SW
9,129450.3199207398,215577681.56000006,69601.66188040421,5227.031296132967,1210.138074641334,11956.633191399278,16410.899104279633,21361.796190838973,36820.332652830024,3888.3790377600017,72531.53202782998,7776.191976949999,8433.88422537,SW
10,129414.52448664997,215614784.46000028,69572.18857302587,5572.490369627658,1233.7857298998224,11594.647678424244,16643.36158074702,20892.187265010085,36847.63910453003,3895.2362179000006,72454.82109390001,7760.984290630002,8455.84377969,SW
11,129485.61245067,215418984.69000027,69521.44090359345,5359.757512188805,1174.9944976935533,11363.598889678038,16945.839726188988,21119.20440861693,36918.57681111001,3913.88937778,72471.78725944,7773.241684930005,8408.117317409997,SW
12,129484.21482046998,215864967.40000033,69491.0648348153,5391.2182532385295,1186.2279893480616,11949.358587995168,16772.431237677298,21014.803189544156,36837.45177531996,3975.4501273099995,72441.98764103997,7762.124126169994,8467.201150629997,SW
13,129389.99332166008,215870114.6400003,69552.75093070931,5552.356886831454,1183.4136961562954,12516.571594059073,16648.124014231584,20791.81886363889,36866.04605853998,3905.8266531800004,72353.05348383998,7760.061989159999,8505.005136939999,SW
14,129334.3537716599,215213047.7800004,69470.1199904214,5650.248942511349,1204.7288689426448,11647.860762588536,17275.371563170196,20343.603499144992,36828.39321673998,3892.7612154000008,72441.03711864998,7758.221040380003,8413.941180490001,SW
15,129561.24671038002,216382896.97000012,69609.47281380968,5539.446838863004,1198.07326883978,12098.520624276207,17016.649923552435,20216.202066426755,36881.97457837999,3894.74298268,72479.23280328995,7767.5195812,8537.77676483,SW
16,129291.71406054005,215077804.10000017,69533.28989068914,5578.3760126590305,1289.0438529811495,11902.225805926893,16403.68125686022,20015.247259100295,36860.483860680026,3899.5005455200003,72361.25448286002,7763.518643980001,8406.956527500002,SW
17,129524.25141451995,216454975.6900001,69613.14820309328,5429.701986670807,1200.1017671144314,12700.1926997263,15686.941186433349,20567.95898685344,36836.67710697999,3946.2282673500004,72426.16012937001,7763.915004989996,8551.270905830002,SW
18,129350.06064203977,215528022.4700001,69449.87317751997,5456.752319080803,1225.5524843791711,12527.613566993607,17404.454589794495,21002.959168681497,36822.419074249985,3931.65782389,72387.01985682,7752.27254318,8456.691343899998,SW
19,129364.74523062997,215273409.7200005,69400.42603044953,5237.845070357292,1203.8862486056119,11978.052958995653,16833.65338302486,19487.53041035545,36834.29780743003,3882.8318006900004,72464.01972412998,7769.735343120004,8413.860555260004,SW
20,129565.64719678988,216826401.42000017,69627.64308051125,5626.281850192543,1257.7636956171357,12321.941282199765,16146.202569328454,21175.92578919263,36834.15566704999,3914.94409842,72455.09058056,7760.17512887,8601.281721890004,SW
21,129411.78951847987,215348971.3800003,69646.25790358223,5315.8735187083075,1245.0993328318266,11458.509326489997,17993.47590507377,20922.38618573056,36829.148403379986,3887.0798953299986,72503.14825217999,7784.096427910005,8408.316539679996,SW
22,129476.90305732991,215549394.34000003,69561.71420102006,5456.2541018280635,1244.8663211711992,12054.259148241135,17622.02012251088,19950.875140378415,36902.254961620034,3926.2568227399993,72459.55466325002,7757.123093409996,8431.713516310003,SW
23,130008.98419642984,216928480.85000023,69768.33347262561,5707.473394523927,1251.818189268026,11365.035899078792,16980.555968633544,20415.1830516125,37073.13419768998,3914.183698409999,72700.90342568001,7816.410538610003,8504.352336040001,SW
24,129393.49456732998,215374763.9100005,69569.2541110249,5856.188274610235,1192.2543333937724,12354.103917936156,17184.90702860175,21668.060325813196,36834.38156368,3933.1808096400005,72441.42634289998,7766.4424690199985,8418.06338209,SW
25,129590.24066396979,215995551.4400004,69612.02511331755,5434.223411666057,1192.3212914444694,12914.929616041434,17243.13268951776,20043.1614657296,36852.79498684998,3918.10318644,72542.95976276997,7825.55567916,8450.827048749998,SW
26,129735.38612268,216090701.88,69682.82851440462,5830.101531115216,1264.0393329451142,12546.570634113148,16739.786132178735,20148.67245827629,36906.94681937,3893.8011160799997,72737.51874980995,7750.193187869998,8446.92624955,SW
27,129699.12349461002,216098779.09999985,69577.77087515754,5781.910587461824,1214.2566983045158,11823.32434559112,16956.012781621866,20663.738626999184,36846.64192767001,4005.9220738000017,72624.28397648998,7787.127627490001,8435.147889159998,SW
28,129538.12692470978,215649511.21999985,69507.03181775563,5514.313953935741,1242.5882470709378,11737.171652683224,16861.18904483413,20375.266314047523,36830.16702051999,4090.0242588599995,72435.87627929999,7778.473207170005,8403.58615886,SW
