,weights
SavedWater_Norm,0.07692307692307693
Recharge_Norm,0.07692307692307693
Kitfox_Total,0.07692307692307693
TiptonKRat_Total,0.07692307692307693
GiantGarterSnake_Total,0.07692307692307693
TNC_Total,0.07692307692307693
HabCorridors_Total,0.07692307692307693
ConservationAreas_Total,0.07692307692307693
ImpBirdAreas_Total,0.07692307692307693
Nitrate_Total,0.07692307692307693
ModSAGBI_Total,0.07692307692307693
Prox2Wetlands_Total,0.07692307692307693
Depth2GroundWater_Norm_Total,0.07692307692307693
